,type,Name,year,director,address,lat,lon,borough,complaints.count.freq,Style_Sec,Mat_Prim,Use_Orig,nbhd,imdb,TEL,URL,system
751,Museum,Holocaust Museum & Studies Center,,,75 W 205th St,40.87835786,-73.89098784,,NA,,,,,,(718) 817-7700,http://www.holocauststudies.org/,NA
752,Museum,Hudson Waterfront Museum and Showboat Barge,,,290 Conover St.,40.67557193,-74.01808694,,NA,,,,,,(718) 624-4719,http://www.waterfrontmuseum.org/,NA
753,Museum,International Center of Photography,,,1133 Avenue Of The Americas,40.75602115,-73.98383673,,NA,,,,,,(212) 857-0000,http://www.icp.org/,NA
754,Museum,Intrepid Sea-Air-Space Museum,,,Pier 86 12th Ave. & 46th Street,40.76478327,-74.00089181,,NA,,,,,,(212) 245-0072,http://www.intrepidmuseum.org/,NA
755,Museum,Isamu Noguchi Garden Museum,,,32-37 Vernon Boulevard,40.76695661,-73.93765515,,NA,,,,,,(718) 204-7088,http://www.noguchi.org/,NA
756,Museum,Italian American Museum,,,155 Mulberry St.,40.71919463,-73.99749411,,NA,,,,,,(212) 965-9000,http://www.italianamericanmuseum.org/,NA
757,Museum,Jackie Robinson Museum,,,1 Hudson Square,40.72335066,-74.00664186,,NA,,,,,,(212) 290-8600,http://www.jackierobinson.org/,NA
758,Museum,Jacques Marchais Center Museum of Tibetan Art,,,338 Lighthouse Avenue,40.57631284,-74.13812337,,NA,,,,,,(718) 987-3500,http://www.tibetanmuseum.org/,NA
759,Museum,Jeffrey's Hook lighthouse (Little Red Lighthouse),,,178th Street at the Hudson River,40.85022003,-73.94694495,,NA,,,,,,(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,NA
760,Museum,Jewish Museum,,,1109 Fifth Ave,40.78540226,-73.95718706,,NA,,,,,,(212) 423-3200,http://www.thejewishmuseum.org/index.php,NA
761,Museum,John J. Harvey Fireboat,,,Pier 66 at West 26th Street,40.7523302,-74.00965484,,NA,,,,,,,http://www.fireboat.org/,NA
762,Museum,King Manor Museum,,,152-01 Jamaica Avenue,40.70304202,-73.80376062,,NA,,,,,,(718) 206-0545,http://www.kingmanor.org/,NA
763,Museum,Kingsland Homestead,,,143-35 37th Avenue,40.76359571,-73.82415642,,NA,,,,,,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,NA
764,Museum,LaGuardia and Wagner Archives,,,31-10 Thomson Ave.,40.74396007,-73.93514568,,NA,,,,,,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,NA
765,Museum,Lee Young Hee Museum of Korean Culture,,,2 West 32nd Street,40.74719709,-73.98618833,,NA,,,,,,(212) 560-0722,http://www.lyhkm.org/,NA
766,Museum,Lefferts Historic House,,,Prospect Park Willink Entrance,40.66437996,-73.96381416,,NA,,,,,,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,NA
